Country,Year,corruption_and_economic_crime,intentional_homicide,violent_and_sexual_crime,firearms_trafficking,access_and_functioning_of_justice
Chile,2023,99010.95454545454,118.55793611025852,16566.443786852513,3370.2426417536008,3164.627376119241
China,2019,77088.75640213615,3689.759181400572,114551.11296037237,16070.462089908437,2670.8590725278077
China,2020,2294.2369845250796,3578.750928035268,21733.147971794195,19189.76786709289,8471.210695395868
China,2022,13083.482613401575,3386.237584096324,36347.91318702046,221381.043276195,2121.947939363897
"China, Hong Kong Special Administrative Region",2019,962.75,2.027598417463211,73223.57661908641,4202.388857795578,847.1677916613734
"China, Hong Kong Special Administrative Region",2020,3344.75,1.865552981805418,3173.8814756008105,3712.745596640933,700.0986752769657
"China, Hong Kong Special Administrative Region",2021,153.75,2.1214368397220724,21366.54436480266,3866.47097914944,684.0185162162608
"China, Hong Kong Special Administrative Region",2022,7521.375,2.750608074087672,8066.343217718826,3697.775741303732,600.0560439510763
"China, Hong Kong Special Administrative Region",2023,35083.85323530155,4.303736978744013,36495.5072579589,998.997237407475,631.3705793885299
"China, Macao Special Administrative Region",2019,372.7600726818182,0.8562563496887655,31728.174917469907,721.4260064936257,34.40727675157475
"China, Macao Special Administrative Region",2020,290.0816759090909,0.6574707757971869,48400.35491480828,613.8163474686907,27.57725593986009
"China, Macao Special Administrative Region",2021,347.7840833181818,1.077272882749735,25767.00881069925,586.3458309265574,25.63412997733416
"China, Macao Special Administrative Region",2022,252.86808466666668,0.9841141949697632,24171.903590390888,703.4388496169536,25.61283556591827
"China, Macao Special Administrative Region",2023,64456.81307529601,1.6146066804618908,59044.61624049324,14305.164041213196,10811.121423308407
Colombia,2019,151552.5,805.5866095816472,9896.026666666668,27544.72152413306,9701.128890804855
Colombia,2020,83334.70588235294,829.0569893391923,10070.078125,14822.176971413124,8385.03221800162
Colombia,2021,508782.8108108108,953.9429192279316,33749.21052631579,15654.171815629696,8802.056481040972
Colombia,2022,300292.3448275862,951.6415086682076,21521.30357142857,18137.0293628158,7358.269921251708
Colombia,2023,77754.27777777778,1561.6046703636414,17927.58620689655,6300.322627504544,14118.349209229957
Costa Rica,2019,123859.80645161292,42.38143548632125,10896.237008424949,2883.758880129534,1933.4771357769748
Costa Rica,2020,184728.2333333333,39.482977330938965,22674.612366129124,2099.917559105072,1555.929489980772
Costa Rica,2021,112340.26666666666,62.350884061064114,28359.403567452722,1991.4056894079945,1562.6591657217532
Costa Rica,2022,166045.23333333334,68.8534411280861,725.6333333333333,935.8772312741872,1996.384255690828
Costa Rica,2023,141726.7,192.94402428321536,44632.55370860957,429.13518308263616,2242.872086379747
Croatia,2019,180.55882352941177,2.7768647884412188,15255.6174996085,2438.469553299114,102.37644951795204
Croatia,2020,231.1176470588236,3.2046365173638423,2017.0,2322.9103906087025,84.94333143860335
Croatia,2021,243.02857142857144,2.861435183999281,6993.0,2400.3390661334006,100.11128129425408
Croatia,2022,334.4117647058824,2.86570588830018,3214.0,2404.807062390621,99.75873713502816
Croatia,2023,674.8181818181819,2.767829943064494,2557.0,1209.0828684529524,222.39883706639176
Croatia,2024,29804.668518690396,51.795861926863154,4164.0,7879.391158832374,8223.71173151058
Cuba,2019,4851.876284914219,168.9067980226367,121591.45416532524,3116.8563814195477,1557.7271157254281
Cyprus,2019,121227.14285714286,2.8810654730273675,44.01639344262295,5449.43120038022,24.94151803981936
Cyprus,2020,188328.5,4.133422033171646,9076.369823462854,3770.693469255136,27.842721086868227
Cyprus,2021,357268.8965517241,4.620796117816083,24.181818181818183,3639.974550091437,37.349529145439895
Cyprus,2022,239056.75,2.254975390875944,25.8,479.0513629379088,36.09299872633882
Cyprus,2023,167585.36363636365,2.372636499463963,28.34375,397.97930649733377,40.057936849301086
Cyprus,2024,32651.91484578653,8.666666666666666,36456.03804262781,42617.89049782185,1492.989501919993
Czechia,2019,292649.0,7.455412355877621,14403.917305106956,9238.443244649468,622.0044114686341
Czechia,2020,123133.75,5.411322822928857,31009.90447434139,7459.554608762293,313.3287348534661
Czechia,2021,62554.28,3.940257855086408,60084.86560372876,7430.593002819689,310.8980191373012
Czechia,2022,97019.0,6.738435757539688,77408.39792590436,6900.486416886469,357.09080596656514
Czechia,2023,179934.33333333334,7.226356275468526,30511.841465436883,2233.079104983845,634.3702833019233
Democratic Republic of the Congo,2019,22309.27952551149,71.80145972751785,320.0,10646.321344668591,15905.082522325409
Denmark,2019,16724.5,4.737130162563646,164.49056603773585,8084.766842563221,1268.351370990052
Denmark,2020,34830.17857142857,6.133759248666044,88741.34315643371,8088.483092709838,1605.3576599420946
Denmark,2021,7338.482758620689,4.4675406788290175,216.28125,6851.445494767519,1679.6925258906
Denmark,2022,10133.42857142857,5.7301716179454125,199.82142857142856,7167.7279721005,1713.8185993423212
Denmark,2023,58281.944444444445,4.867629587657168,118.36734693877553,3044.9028969553524,2232.0717825238207
